age,BAYSPAR,BAYSPmin,BAYSPmax,BAYMBT0,BAYMBTmin,BAYMBTmax
59.752,20.80,14.60,26.65,17.16,9.32,25.36
59.838,23.29,17.36,29.47,17.68,9.69,25.52
59.919,22.67,16.65,28.75,17.45,9.30,25.23
60.27,23.30,17.32,29.50,18.13,9.88,26.04
60.351,22.03,16.03,28.04,19.06,10.59,26.95
60.432,22.66,16.68,28.81,19.20,11.57,26.28
60.513,23.30,17.31,29.53,19.04,11.51,27.78
60.594,23.29,17.34,29.48,19.39,11.49,26.97
60.664,22.64,16.70,28.73,18.97,11.36,26.37
60.745,22.02,16.06,28.09,18.30,10.22,26.29
60.787,22.67,16.71,28.80,27.26,19.33,35.28
60.868,20.14,13.97,25.97,17.96,10.18,26.48
60.949,22.65,16.67,28.80,18.94,10.98,26.75
61.031,22.05,16.07,28.05,18.66,10.36,26.14
61.112,20.77,14.65,26.66,17.34,9.45,25.18
61.306,21.40,15.34,27.34,17.66,9.90,26.08
61.387,23.92,18.02,30.29,18.22,10.63,26.44
61.44,23.91,18.04,30.28,18.78,10.87,27.00
61.83,24.54,18.63,30.97,18.54,10.69,26.40
61.911,25.18,19.30,31.71,18.34,10.89,26.38
61.92,25.16,19.28,31.77,18.75,10.41,26.71
64.573,26.40,20.57,33.26,21.00,13.42,29.47
64.857,27.64,21.81,34.80,22.28,13.60,30.64
64.917,26.40,20.54,33.25,22.09,14.37,29.79
65.25,27.06,21.18,33.92,20.47,12.39,29.15
65.675,25.77,19.95,32.44,21.54,13.38,29.53
66.696,20.77,14.69,26.66,18.74,10.94,27.25
66.922,22.05,16.00,28.10,19.30,11.51,27.29
67.214,21.40,15.36,27.39,18.22,10.80,26.21
67.339,22.66,16.67,28.79,18.22,10.37,26.16
67.607,22.03,16.02,28.14,16.62,8.58,24.20
67.874,20.78,14.65,26.60,17.42,9.03,24.71
68.142,22.68,16.75,28.76,18.44,10.37,26.41
68.29,22.03,16.06,28.08,17.03,8.48,24.82
68.337,22.66,16.68,28.81,17.03,9.26,25.07
68.376,22.05,16.04,28.03,17.04,9.34,24.84
68.492,21.42,15.36,27.39,17.34,9.21,25.02
68.553,21.39,15.36,27.34,17.62,9.38,25.94
68.601,20.78,14.70,26.64,17.56,9.35,25.02
68.685,20.17,13.99,25.96,17.31,9.57,25.41
68.806,24.54,18.67,30.95,20.22,13.06,27.99
68.849,22.05,16.00,28.06,17.12,9.52,25.31
68.92,23.29,17.36,29.50,18.30,10.20,25.87
69.032,21.38,15.37,27.36,17.74,9.99,25.83
69.131,25.14,19.28,31.74,27.06,19.51,35.55
69.202,23.30,17.33,29.55,17.85,9.07,25.44
69.315,22.01,16.02,28.10,16.59,9.02,24.21
69.421,23.29,17.36,29.57,17.86,10.84,26.12
69.452,21.41,15.33,27.35,17.81,9.34,25.78
69.583,21.40,15.35,27.37,18.39,9.49,25.25
69.63,21.42,15.39,27.38,18.85,10.78,26.74
69.701,20.78,14.67,26.63,17.14,9.49,25.13
70.226,22.04,16.03,28.10,18.05,10.43,26.19
70.329,24.55,18.61,31.00,18.76,10.34,26.97
70.447,24.54,18.66,30.93,16.20,8.28,24.68
70.546,22.64,16.68,28.78,17.31,8.85,25.20
