location,substrate,type,IIIa-tot,IIIb-tot,IIIc-tot,Iia-tot,Iib-tot,Iic-tot,brGDGT-Ia,brGDGT-Ib,brGDGT-Ic,SUMBR,FR.TETR,FR.PEN,FR.HEX,NoRINGStetra,NoRINGSpenta,NoRINGSpenta5,NoRINGSpenta6,IRpenta,IRhexa,,Iia,Iia',Iib,Iib',Iic,Iic',IIIa,IIIa',IIIb,IIIb',IIIc,IIIc'
Schoeningen,Lignite,Paleogene,526729,0,0,4093991,930629,433447,88505234,9652521,6915676,111058226.15,94.61,4.91,0.47,0.22,0.33,0.34,0.25,0.16,0.74,,3439798,654193,708853,221776,433447,0,135676,391053,0,0,0,0
Schoeningen,Lignite,Paleogene,208495,0,0,1985145,291725,149587,32322437,3988506,2630789,41576684.34,93.66,5.84,0.50,0.24,0.24,0.26,0.15,0.18,0.59,,1618956,366189,225789,65936,149587,0,84517,123978,0,0,0,0
Schoeningen,Lignite,Paleogene,137998,0,0,1386600,233011,70695,48274042,5967006,3939454,60008805.64,96.95,2.82,0.23,0.24,0.22,0.25,0.15,0.26,0.63,,1019914,366686,168556,64454,70695,0,51634,86364,0,0,0,0
Schoeningen,Lignite,Paleogene,837991,0,0,6357499,1035080,302221,146942041,17692295,10681288,183848414.98,95.36,4.19,0.46,0.22,0.21,0.25,0.13,0.27,0.64,,4512500,1844999,766151,268929,302221,0,300365,537627,0,0,0,0
Schoeningen,Lignite,Paleogene,373585,0,0,2981303,728984,271270,97767385,15697018,10412944,128232488.64,96.60,3.10,0.29,0.29,0.32,0.44,0.13,0.39,0.83,,1623212,1358091,520882,208102,271270,0,62877,310707,0,0,0,0
Schoeningen,Lignite,Paleogene,837991,0,0,6357499,1035080,302221,196942041,13692295,10681288,229848414.98,96.29,3.35,0.36,0.16,0.21,0.25,0.13,0.27,0.64,,4512500,1844999,766151,268929,302221,0,300365,537627,0,0,0,0
Schoeningen,Lignite,Paleogene,1156083,0,0,9724223,880614,263600,317848768,27252732,19081122,376207143.03,96.80,2.89,0.31,0.18,0.13,0.16,0.08,0.36,0.87,,6118235,3605988,552615,327998,263600,0,147147,1008936,0,0,0,0
Schoeningen,Lignite,Paleogene,439774,0,0,2806864,366518,180879,70073318,7005513,4686224,85559090.50,95.57,3.92,0.51,0.20,0.22,0.26,0.10,0.25,0.85,,2040699,766165,278028,88490,180879,0,67636,372137,0,0,0,0
Schoeningen,Lignite,Paleogene,761391,0,0,3848457,374785,161001,88532561,7782547,6031413,107492155.13,95.21,4.08,0.71,0.19,0.16,0.19,0.10,0.32,0.84,,2564123,1284334,237140,137645,161001,0,118510,642881,0,0,0,0
Schoeningen,Lignite,Paleogene,413834,0,0,3711999,494353,201683,113896885,12040592,7752058,138511403.62,96.52,3.18,0.30,0.21,0.20,0.26,0.11,0.37,0.74,,2249438,1462560,321637,172717,201683,0,107703,306131,0,0,0,0
Schoeningen,Lignite,Paleogene,1001457,0,0,5154844,439275,192381,89698696,10568030,8101330,115156011.95,94.11,5.02,0.87,0.25,0.14,0.16,0.11,0.36,0.84,,3283908,1870935,218009,221266,192381,0,156992,844465,0,0,0,0
Schoeningen,Lignite,Paleogene,226690,0,0,1675687,173725,75017,37567532,3261852,2385905,45366408.60,95.26,4.24,0.50,0.19,0.17,0.21,0.09,0.31,0.79,,1122081,553606,121942,51782,75017,0,47308,179382,0,0,0,0
Schoeningen,Lignite,Paleogene,235842,0,0,2184196,206837,72048,52163567,4181651,3043121,62087262.32,95.65,3.97,0.38,0.17,0.14,0.18,0.08,0.34,0.77,,1421951,762245,142441,64396,72048,0,53119,182723,0,0,0,0
