Site,coresec,interval,depth,age,1302,1300,1298,1296,1292,1292',1050-1,1050-2,H-1048,H-1048b-1,H-1048b-2,1036-1,1036-2,1034-1,1034-2,H-1034a,H-1034b,H-1034c,H-1034tot,1032-1,1032-2,1022,1020,H-1020p,H-1020a,H-1020b,H-1020c,H-1020tot,1018,1050-tot,1036-tot,1034-tot,1032-tot,,,
1172D,3R-4W,15-18,366.295,36.8665,3.28E+07,5.59E+06,3.90E+06,1.47E+06,3.36E+07,2.11E+06,5.60E+05,6.12E+05,1.73E+04,9.05E+03,1.22E+04,1.90E+06,4.22E+05,2.09E+05,4.00E+05,4.72E+03,1.21E+05,9.57E+04,2.21E+05,5.27E+04,1.01E+05,1.39E+07,7.39E+05,6.00E+03,1.38E+06,9.79E+05,7.01E+05,3.06E+06,3.15E+05,1.17E+06,2.32E+06,6.09E+05,1.54E+05,,,
1172A,40X-3W,10-12 cm,367.3,37.0100,3.61E+07,6.79E+06,4.50E+06,1.67E+06,3.91E+07,2.64E+06,8.00E+05,8.62E+05,2.33E+04,1.75E+04,3.28E+04,2.36E+06,6.31E+05,2.94E+05,4.94E+05,6.42E+03,1.65E+05,1.11E+05,2.83E+05,6.91E+04,1.33E+05,1.83E+07,9.99E+05,5.97E+04,1.82E+06,1.48E+06,1.01E+06,4.31E+06,4.59E+05,1.66E+06,2.99E+06,7.88E+05,2.02E+05,,,
1172D,3R-4W,117.5-120,367.32,37.0140,3.27E+07,6.11E+06,4.04E+06,1.36E+06,3.58E+07,2.45E+06,5.37E+05,6.01E+05,2.02E+04,6.73E+03,1.46E+04,1.63E+06,4.97E+05,2.08E+05,3.78E+05,5.27E+03,1.21E+05,8.04E+04,2.07E+05,4.66E+04,9.53E+04,1.26E+07,6.75E+05,3.92E+04,1.61E+06,1.03E+06,7.24E+05,3.37E+06,3.07E+05,1.14E+06,2.13E+06,5.86E+05,1.42E+05,,,
1172D,3R-5W,63-66,368.275,37.2050,4.59E+07,9.41E+06,6.87E+06,2.38E+06,4.94E+07,3.69E+06,8.39E+05,8.44E+05,3.34E+04,1.50E+04,2.32E+04,3.06E+06,7.96E+05,3.38E+05,4.79E+05,5.77E+03,1.94E+05,1.19E+05,3.19E+05,7.96E+04,1.16E+06,2.15E+07,1.16E+06,3.36E+04,1.87E+06,1.23E+06,1.11E+06,4.21E+06,5.24E+05,1.68E+06,3.86E+06,8.17E+05,1.24E+06,,,
1172D,3R-6W,13-16,369.275,37.4050,3.47E+07,6.44E+06,4.43E+06,1.45E+06,3.67E+07,2.42E+06,5.61E+05,6.59E+05,1.76E+04,1.74E+04,3.47E+04,1.60E+06,4.94E+05,2.13E+05,3.95E+05,3.47E+03,1.22E+05,9.35E+04,2.19E+05,5.12E+04,9.59E+04,1.30E+07,6.94E+05,5.62E+04,1.47E+06,9.88E+05,7.52E+05,3.21E+06,3.00E+05,1.22E+06,2.09E+06,6.08E+05,1.47E+05,,,
1172D,3R-6W,113-116 cm,370.275,37.6050,1.76E+07,3.40E+06,2.67E+06,8.64E+05,2.10E+07,1.48E+06,2.56E+05,2.55E+05,8.60E+03,4.43E+03,6.93E+03,8.54E+05,2.30E+05,9.20E+04,1.24E+05,0.00E+00,5.54E+04,3.64E+04,9.18E+04,2.50E+04,2.95E+04,7.10E+06,3.73E+05,1.36E+04,4.92E+05,3.47E+05,4.64E+05,1.30E+06,1.78E+05,5.11E+05,1.08E+06,2.16E+05,5.45E+04,,,
1172A,40X-7W,10-12 cm,373.3,38.2100,2.76E+07,4.96E+06,3.40E+06,1.29E+06,3.15E+07,2.05E+06,4.68E+05,5.17E+05,1.54E+04,1.06E+04,2.03E+04,1.46E+06,4.08E+05,1.74E+05,3.53E+05,0.00E+00,1.08E+05,1.05E+05,2.13E+05,4.52E+04,8.86E+04,1.24E+07,6.83E+05,3.18E+04,1.04E+06,8.27E+05,7.18E+05,2.59E+06,3.29E+05,9.85E+05,1.87E+06,5.27E+05,1.34E+05,,,
1172A,41X-5W,10-12 cm,379.8,38.5387,1.44E+07,2.55E+06,1.70E+06,6.16E+05,1.68E+07,1.13E+06,2.72E+05,2.94E+05,6.90E+03,7.43E+03,1.01E+04,7.04E+05,2.11E+05,8.78E+04,1.66E+05,0.00E+00,5.08E+04,6.50E+04,1.16E+05,2.28E+04,4.40E+04,6.74E+06,3.22E+05,2.16E+04,3.62E+05,6.27E+05,3.85E+05,1.37E+06,1.53E+05,5.66E+05,9.15E+05,2.54E+05,6.68E+04,,,
1172A,42X2W,10-12 cm,385,38.7333,2.20E+07,4.17E+06,2.95E+06,1.05E+06,2.52E+07,1.85E+06,4.80E+05,5.20E+05,1.14E+04,1.53E+04,1.86E+04,1.17E+06,3.97E+05,1.77E+05,2.59E+05,4.39E+03,8.52E+04,1.23E+05,2.12E+05,3.93E+04,6.85E+04,1.16E+07,5.40E+05,5.04E+04,1.20E+06,1.02E+06,6.95E+05,2.92E+06,2.52E+05,1.00E+06,1.57E+06,4.36E+05,1.08E+05,,,
1172A,42X-6W,10-12 cm,391,38.9678,6.70E+07,1.38E+07,9.95E+06,4.24E+06,6.66E+07,4.79E+06,1.17E+06,1.23E+06,4.82E+04,4.93E+04,5.67E+04,4.04E+06,1.18E+06,4.73E+05,7.54E+05,1.00E+04,3.30E+05,3.18E+05,6.58E+05,1.36E+05,1.99E+05,4.40E+07,2.32E+06,1.34E+05,3.87E+06,3.52E+06,3.75E+06,1.11E+07,1.17E+06,2.40E+06,5.22E+06,1.23E+06,3.35E+05,,,
