Site,coresec,interval,depth,age,1302,1300,1298,1296,1292,1292',1050-1,1050-2,H-1048,H-1048b-1,H-1048b-2,1036-1,1036-2,1034-1,1034-2,H-1034a,H-1034b,H-1034c,H-1034tot,1032-1,1032-2,1022,1020,H-1020p,H-1020a,H-1020b,H-1020c,H-1020tot,1018,1050-tot,1036-tot,1034-tot,1032-tot,,,
1172D,7R-5W,10-12 cm,532.2,46.4209,7.08E+06,1.96E+06,2.45E+06,7.98E+05,1.63E+07,1.97E+06,8.62E+04,9.56E+04,3.97E+03,1.00E+03,6.60E+03,2.54E+05,1.24E+05,5.38E+04,5.94E+04,0.00E+00,2.41E+04,3.49E+04,5.91E+04,1.42E+04,1.46E+04,3.60E+06,2.12E+05,1.55E+04,3.80E+05,2.47E+05,3.27E+05,9.54E+05,1.07E+05,1.82E+05,3.78E+05,1.13E+05,2.88E+04,,,
1172D,7R-6W,135-137 cm,535.05,46.7604,1.85E+07,4.28E+06,4.89E+06,1.72E+06,3.08E+07,3.57E+06,2.07E+05,2.26E+05,9.10E+03,2.79E+03,7.93E+03,6.31E+05,2.59E+05,1.28E+05,1.45E+05,2.36E+03,4.96E+04,6.24E+04,1.14E+05,3.13E+04,3.62E+04,7.86E+06,4.77E+05,2.80E+04,6.48E+05,4.58E+05,7.89E+05,1.90E+06,2.50E+05,4.33E+05,8.90E+05,2.73E+05,6.75E+04,,,
1172D,8R-2W,10-12 cm,537.4,47.0403,2.23E+06,6.32E+05,7.59E+05,2.66E+05,5.34E+06,5.71E+05,3.09E+04,3.53E+04,1.00E+03,1.00E+03,1.00E+03,9.93E+04,4.12E+04,1.57E+04,1.91E+04,1.00E+03,8.68E+03,1.23E+04,2.20E+04,5.20E+03,5.17E+03,1.37E+06,7.60E+04,8.73E+03,1.51E+05,9.57E+04,1.58E+05,4.05E+05,4.11E+04,6.62E+04,1.41E+05,3.48E+04,1.04E+04,,,
1172D,8R-3W,115-117 cm,539.95,47.3440,1.76E+07,3.89E+06,4.78E+06,1.45E+06,2.57E+07,3.20E+06,1.60E+05,1.70E+05,6.69E+03,4.20E+03,9.91E+03,4.67E+05,1.90E+05,8.32E+04,1.10E+05,2.00E+03,4.33E+04,5.77E+04,1.03E+05,2.58E+04,2.96E+04,6.30E+06,3.93E+05,2.09E+04,5.86E+05,4.09E+05,7.40E+05,1.74E+06,2.07E+05,3.30E+05,6.57E+05,1.93E+05,5.54E+04,,,
1172D,8R-4W,10-12 cm,540.4,47.3804,1.59E+06,4.16E+05,5.52E+05,1.73E+05,3.86E+06,4.34E+05,1.74E+04,1.96E+04,0.00E+00,7.12E+03,2.22E+03,5.23E+04,2.42E+04,1.00E+04,1.15E+04,0.00E+00,5.20E+03,8.43E+03,1.36E+04,2.35E+03,2.70E+03,7.22E+05,4.31E+04,4.41E+03,7.40E+04,4.57E+04,7.09E+04,1.91E+05,2.24E+04,3.70E+04,7.65E+04,2.15E+04,5.05E+03,,,
1172D,8R-5W,104-106 cm,542.84,47.5661,8.91E+05,2.34E+05,3.23E+05,9.90E+04,2.17E+06,2.46E+05,1.13E+04,1.33E+04,5.00E+02,3.05E+03,3.88E+03,3.48E+04,1.50E+04,7.72E+03,9.66E+03,0.00E+00,3.80E+03,4.41E+03,8.21E+03,2.20E+03,2.35E+03,5.35E+05,3.26E+04,2.01E+03,5.18E+04,3.65E+04,6.25E+04,1.51E+05,1.68E+04,2.46E+04,4.98E+04,1.74E+04,4.55E+03,,,
1172D,8R-6W,10-12 cm,543.3,47.6011,6.42E+06,1.70E+06,2.12E+06,7.00E+05,1.40E+07,1.56E+06,7.04E+04,8.03E+04,1.09E+04,3.12E+04,1.14E+04,2.20E+05,9.56E+04,3.83E+04,4.30E+04,5.44E+03,2.46E+04,3.10E+04,6.10E+04,1.09E+04,1.09E+04,2.93E+06,1.74E+05,1.36E+04,2.87E+05,1.83E+05,2.96E+05,7.66E+05,8.77E+04,1.51E+05,3.16E+05,8.13E+04,2.18E+04,,,
1172D,9R-1W,105-107 cm,546.45,47.8408,1.44E+07,3.30E+06,4.21E+06,1.60E+06,2.71E+07,3.54E+06,1.54E+05,1.84E+05,8.85E+03,5.01E+04,2.21E+04,4.69E+05,2.24E+05,1.02E+05,1.13E+05,5.84E+03,5.43E+04,7.73E+04,1.37E+05,2.56E+04,3.19E+04,6.18E+06,3.87E+05,3.80E+04,8.37E+05,5.21E+05,7.86E+05,2.14E+06,1.90E+05,3.38E+05,6.93E+05,2.15E+05,5.75E+04,,,
1172D,9R-2W,10-12 cm,547.45,47.9169,3.77E+06,1.02E+06,1.24E+06,4.13E+05,7.60E+06,9.35E+05,5.76E+04,6.01E+04,3.40E+03,3.11E+03,4.37E+03,1.54E+05,7.21E+04,2.99E+04,3.71E+04,0.00E+00,2.02E+04,2.08E+04,4.10E+04,9.45E+03,1.02E+04,2.33E+06,1.29E+05,2.15E+04,3.87E+05,3.01E+05,3.43E+05,1.03E+06,7.35E+04,1.18E+05,2.26E+05,6.70E+04,1.97E+04,,,
1172D,9R-2W,110-112 cm,548,47.9588,7.35E+06,1.78E+06,1.93E+06,7.47E+05,1.11E+07,1.38E+06,1.54E+05,8.60E+04,4.92E+03,4.29E+03,2.96E+03,3.18E+05,2.06E+05,4.10E+04,4.79E+04,0.00E+00,2.22E+04,2.87E+04,5.08E+04,1.06E+04,1.33E+04,3.23E+06,1.83E+05,2.12E+04,3.65E+05,2.90E+05,3.98E+05,1.05E+06,1.01E+05,2.40E+05,5.24E+05,8.89E+04,2.39E+04,,,
1172D,9R-3W,112-114 cm,549.52,48.0745,8.12E+06,2.13E+06,2.72E+06,1.00E+06,1.47E+07,1.98E+06,9.75E+04,1.02E+05,8.62E+03,2.38E+04,7.48E+03,2.65E+05,1.45E+05,4.66E+04,7.05E+04,6.01E+03,3.03E+04,3.76E+04,7.39E+04,1.42E+04,1.93E+04,4.22E+06,2.39E+05,2.97E+04,5.35E+05,3.96E+05,6.07E+05,1.54E+06,1.35E+05,2.00E+05,4.10E+05,1.17E+05,3.35E+04,,,
1172D,9R-4W,10-12 cm,550,48.1110,3.46E+06,9.26E+05,1.25E+06,4.61E+05,8.10E+06,9.23E+05,6.45E+04,7.13E+04,4.63E+03,1.06E+04,4.00E+03,1.31E+05,7.95E+04,2.62E+04,3.97E+04,3.57E+03,1.39E+04,2.77E+04,4.52E+04,8.77E+03,9.77E+03,1.88E+06,1.15E+05,1.66E+04,3.76E+05,2.25E+05,2.61E+05,8.62E+05,6.50E+04,1.36E+05,2.11E+05,6.59E+04,1.85E+04,,,
1172D,9R-5W,40-42 cm,551.8,48.2480,1.40E+05,4.62E+04,6.55E+04,2.34E+04,3.33E+05,4.28E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.27E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.12E+03,2.30E+04,,,,,
1172D,9R-6W,60-62 cm,553.5,48.3774,7.00E+05,1.71E+05,1.97E+05,7.79E+04,1.46E+06,1.59E+05,1.02E+04,1.13E+04,5.00E+02,1.00E+03,1.00E+03,2.25E+04,1.44E+04,6.90E+03,8.54E+03,1.00E+03,3.04E+03,6.80E+03,1.08E+04,1.76E+03,2.18E+03,3.73E+05,2.27E+04,3.33E+03,8.15E+04,4.89E+04,6.23E+04,1.93E+05,1.18E+04,2.15E+04,3.69E+04,1.54E+04,3.94E+03,,,
1172D,9R-7W,10-12 cm,554.5,48.4535,2.45E+06,6.54E+05,8.78E+05,3.26E+05,5.94E+06,7.24E+05,3.47E+04,3.91E+04,2.87E+03,6.45E+03,3.27E+03,1.01E+05,5.65E+04,2.32E+04,2.63E+04,1.00E+03,1.19E+04,2.27E+04,3.56E+04,6.65E+03,6.72E+03,1.61E+06,9.27E+04,9.83E+03,2.79E+05,1.39E+05,2.64E+05,6.82E+05,5.03E+04,7.38E+04,1.58E+05,4.95E+04,1.34E+04,,,
1172D,10R-1W,113-116 cm,556.23,48.5783,1.77E+06,4.60E+05,6.34E+05,2.44E+05,4.17E+06,5.26E+05,2.49E+04,2.74E+04,2.24E+03,3.63E+03,2.43E+03,6.73E+04,3.54E+04,1.49E+04,1.79E+04,1.00E+03,8.21E+03,1.39E+04,2.31E+04,3.60E+03,4.44E+03,1.09E+06,5.93E+04,7.42E+03,1.63E+05,1.17E+05,1.66E+05,4.46E+05,3.34E+04,5.23E+04,1.03E+05,3.28E+04,8.04E+03,,,
1172D,10R-2W,10-12 cm,556.7,48.6043,8.54E+05,2.51E+05,3.09E+05,1.30E+05,2.16E+06,2.31E+05,1.46E+04,1.59E+04,5.00E+02,1.00E+03,1.00E+03,4.16E+04,1.99E+04,7.51E+03,9.24E+03,1.00E+03,4.87E+03,6.38E+03,1.22E+04,1.75E+03,2.14E+03,6.31E+05,3.45E+04,3.54E+03,8.07E+04,5.07E+04,8.37E+04,2.15E+05,1.88E+04,3.05E+04,6.15E+04,1.67E+04,3.89E+03,,,
1172D,10R-3W,110-112 cm,559.2,48.7426,1.08E+07,2.40E+06,3.12E+06,1.21E+06,1.77E+07,2.45E+06,1.14E+05,1.15E+05,7.46E+03,1.31E+04,7.24E+03,3.62E+05,1.50E+05,6.36E+04,7.37E+04,3.91E+03,3.85E+04,4.59E+04,8.84E+04,1.73E+04,2.06E+04,5.65E+06,3.29E+05,2.82E+04,5.46E+05,3.98E+05,8.21E+05,1.77E+06,1.72E+05,2.29E+05,5.12E+05,1.37E+05,3.79E+04,,,
1172D,10R-4W,114-116 cm,560.74,48.8277,5.43E+06,1.47E+06,2.10E+06,7.88E+05,1.17E+07,1.59E+06,7.47E+04,7.34E+04,3.94E+03,8.36E+03,5.37E+03,2.45E+05,1.13E+05,3.69E+04,4.32E+04,3.01E+03,2.62E+04,2.66E+04,5.59E+04,1.17E+04,1.42E+04,4.31E+06,2.31E+05,1.56E+04,3.43E+05,2.53E+05,5.45E+05,1.14E+06,1.17E+05,1.48E+05,3.58E+05,8.01E+04,2.59E+04,,,
1172D,10R-5W,85-87 cm,561.95,48.8947,7.07E+06,1.96E+06,2.94E+06,1.14E+06,1.83E+07,2.71E+06,9.81E+04,1.02E+05,6.43E+03,1.59E+04,4.63E+03,3.11E+05,1.59E+05,5.89E+04,6.63E+04,5.97E+03,3.70E+04,4.92E+04,9.21E+04,1.40E+04,1.54E+04,4.50E+06,2.65E+05,1.55E+04,5.11E+05,2.89E+05,6.45E+05,1.45E+06,1.41E+04,2.00E+05,4.70E+05,1.25E+05,2.94E+04,,,
1172D,10R-6W,10-12 cm,562.7,48.9362,1.56E+06,4.53E+05,6.27E+05,2.51E+05,4.21E+06,5.23E+05,2.32E+04,2.46E+04,2.25E+03,2.69E+03,2.43E+03,6.76E+04,3.54E+04,1.26E+04,1.40E+04,1.00E+03,8.82E+03,1.39E+04,2.38E+04,3.05E+03,3.29E+03,1.14E+06,6.19E+04,9.64E+03,1.56E+05,1.01E+05,1.63E+05,4.20E+05,3.36E+04,4.78E+04,1.03E+05,2.66E+04,6.34E+03,,,
1172D,11R-1W,113-116 cm,565.83,49.1093,1.38E+06,4.19E+05,6.04E+05,2.50E+05,4.00E+06,5.41E+05,1.72E+04,1.82E+04,1.00E+03,4.13E+03,2.57E+03,6.05E+04,2.85E+04,1.09E+04,1.33E+04,1.00E+03,6.77E+03,1.17E+04,1.94E+04,2.71E+03,3.03E+03,1.04E+06,5.92E+04,5.67E+03,1.23E+05,9.46E+04,1.59E+05,3.77E+05,3.12E+04,3.54E+04,8.90E+04,2.42E+04,5.74E+03,,,
1172D,11R-3W,30-32 cm,568,49.2294,2.89E+05,8.88E+04,1.46E+05,4.88E+04,8.80E+05,1.31E+05,4.86E+03,5.45E+03,4.40E+02,4.00E+02,3.47E+02,1.48E+04,8.92E+03,3.07E+03,3.70E+03,0.00E+00,1.89E+03,2.83E+03,4.72E+03,8.21E+02,1.06E+03,2.46E+05,1.41E+04,3.26E+03,3.74E+04,3.42E+04,3.90E+04,1.11E+05,7.72E+03,1.03E+04,2.37E+04,6.77E+03,1.88E+03,,,
1172D,11R-3W,113-116 cm,568.83,49.2753,1.01E+06,2.88E+05,2.47E+05,9.69E+04,1.46E+06,2.11E+05,8.26E+03,8.61E+03,5.00E+02,1.50E+03,1.50E+03,2.83E+04,1.57E+04,5.26E+03,6.13E+03,1.00E+03,3.48E+03,5.59E+03,1.01E+04,1.44E+03,1.39E+03,5.20E+05,2.64E+04,4.27E+03,7.99E+04,5.72E+04,8.36E+04,2.21E+05,1.52E+04,1.69E+04,4.40E+04,1.14E+04,2.83E+03,,,
1172D,11R-3W,135-139 cm,569.05,49.2874,1.23E+05,2.30E+04,3.74E+04,1.45E+04,2.41E+05,3.67E+04,1.34E+03,1.66E+03,2.47E+02,8.81E+02,0.00E+00,4.06E+03,2.81E+03,7.77E+02,1.25E+03,4.19E+02,5.99E+02,1.54E+03,2.56E+03,3.24E+02,5.46E+02,7.34E+04,4.84E+03,1.08E+03,1.10E+04,1.05E+04,1.42E+04,3.58E+04,3.37E+03,3.01E+03,6.87E+03,2.02E+03,8.70E+02,,,
1172D,11R-4W,10-12 cm,569.3,49.3013,6.81E+05,2.16E+05,3.18E+05,1.20E+05,2.09E+06,2.41E+05,9.36E+03,9.43E+03,5.00E+02,0.00E+00,0.00E+00,3.07E+04,1.30E+04,5.09E+03,5.17E+03,1.00E+03,3.80E+03,4.44E+03,9.24E+03,1.20E+03,1.32E+03,5.12E+05,2.63E+04,3.74E+03,6.79E+04,4.23E+04,7.69E+04,1.87E+05,1.53E+04,1.88E+04,4.37E+04,1.03E+04,2.51E+03,,,
1172D,11R-5W,10-12 cm,570.8,49.4331,3.38E+05,1.06E+05,1.54E+05,6.12E+04,1.00E+06,1.41E+05,6.21E+03,6.70E+03,0.00E+00,0.00E+00,0.00E+00,1.82E+04,1.07E+04,3.49E+03,3.49E+03,0.00E+00,2.41E+03,4.81E+03,7.21E+03,9.14E+02,8.44E+02,3.55E+05,1.71E+04,3.27E+03,4.93E+04,3.23E+04,5.52E+04,1.37E+05,8.64E+03,1.29E+04,2.89E+04,6.98E+03,1.76E+03,,,
1172D,11R-6W,104.5-106.5 cm,572.685,49.6524,4.16E+06,1.17E+06,1.70E+06,6.67E+05,9.63E+06,1.37E+06,6.02E+04,6.15E+04,5.98E+03,9.65E+03,4.97E+03,1.86E+05,9.22E+04,3.19E+04,3.97E+04,4.08E+03,2.16E+04,3.66E+04,6.22E+04,8.60E+03,1.08E+04,3.05E+06,1.70E+05,2.28E+04,4.11E+05,3.48E+05,5.10E+05,1.27E+06,9.02E+04,1.22E+05,2.78E+05,7.16E+04,1.94E+04,,,
1172D,12R-2W,100-102 cm,576.44,50.0894,1.22E+06,3.28E+05,5.71E+05,1.99E+05,3.52E+06,6.08E+05,2.02E+04,2.15E+04,4.55E+03,1.55E+04,2.73E+03,4.53E+04,3.65E+04,1.12E+04,2.24E+04,6.91E+03,9.04E+03,2.95E+04,4.54E+04,3.93E+03,5.57E+03,1.13E+06,7.05E+04,1.43E+04,2.46E+05,2.00E+05,3.21E+05,7.67E+05,4.39E+04,4.17E+04,8.18E+04,3.35E+04,9.50E+03,,,
1172D,12R-3W,10-12 cm,577.06,50.1615,9.88E+05,2.36E+05,3.57E+05,1.59E+05,2.23E+06,2.87E+05,1.27E+04,1.38E+04,1.00E+03,3.14E+03,1.00E+03,3.42E+04,2.05E+04,6.22E+03,8.43E+03,1.00E+03,4.65E+03,1.02E+04,1.59E+04,1.78E+03,2.53E+03,6.69E+05,3.30E+04,4.31E+03,1.07E+05,5.78E+04,1.28E+05,2.93E+05,1.94E+04,2.65E+04,5.47E+04,1.46E+04,4.31E+03,,,
1172D,12R-4W,10-12 cm,578.54,50.3337,5.34E+05,1.45E+05,2.03E+05,8.11E+04,1.50E+06,1.87E+05,8.39E+03,9.10E+03,5.00E+02,0.00E+00,0.00E+00,2.44E+04,1.22E+04,4.22E+03,4.80E+03,1.00E+03,3.03E+03,5.17E+03,9.20E+03,1.15E+03,1.43E+03,3.81E+05,2.06E+04,2.61E+03,7.41E+04,4.40E+04,6.26E+04,1.81E+05,1.15E+04,1.75E+04,3.66E+04,9.03E+03,2.58E+03,,,
1172D,12R-5W,110-112 cm,581.04,50.6321,5.71E+05,1.68E+05,2.81E+05,1.08E+05,1.51E+06,2.32E+05,1.05E+04,1.18E+04,1.50E+03,4.18E+03,1.00E+03,3.94E+04,2.16E+04,5.97E+03,1.00E+04,1.00E+03,5.27E+03,1.11E+04,1.74E+04,1.48E+03,2.06E+03,7.55E+05,4.30E+04,8.70E+03,9.17E+04,9.32E+04,1.83E+05,3.68E+05,3.61E+04,2.24E+04,6.10E+04,1.60E+04,3.54E+03,,,
1172D,12R-6W,10-12 cm,581.54,50.7834,6.06E+05,1.22E+05,1.60E+05,7.98E+04,1.16E+06,1.52E+05,8.14E+03,8.70E+03,5.00E+02,1.00E+03,1.00E+03,2.30E+04,1.15E+04,3.52E+03,5.18E+03,1.00E+03,2.72E+03,5.16E+03,8.88E+03,1.17E+03,1.29E+03,3.46E+05,1.93E+04,4.00E+03,6.98E+04,4.18E+04,6.50E+04,1.77E+05,1.05E+04,1.68E+04,3.45E+04,8.70E+03,2.46E+03,,,
1172D,12R-7W,65-67 cm,583.61,51.4095,2.50E+06,5.85E+05,8.73E+05,3.98E+05,4.86E+06,6.78E+05,4.77E+04,4.20E+04,5.22E+03,6.36E+03,3.25E+03,1.33E+05,6.84E+04,1.93E+04,2.54E+04,3.19E+03,1.77E+04,2.07E+04,4.16E+04,6.05E+03,6.01E+03,1.94E+06,1.08E+05,1.64E+04,2.11E+05,1.89E+05,3.58E+05,7.58E+05,5.79E+04,8.97E+04,2.01E+05,4.47E+04,1.21E+04,,,
1172D,13R-1W,10-12 cm,585.85,52.7443,1.47E+06,4.87E+05,6.39E+05,2.79E+05,2.96E+06,3.98E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.13E+06,6.85E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.92E+04,3.59E+04,9.21E+04,3.53E+04,8.76E+03,,,
1172D,13R-2W,90-92 cm,588.15,53.0847,9.87E+05,3.19E+05,4.81E+05,2.38E+05,2.77E+06,3.71E+05,2.17E+04,2.04E+04,3.56E+03,3.91E+03,2.31E+03,6.66E+04,3.58E+04,9.60E+03,1.24E+04,1.00E+03,1.11E+04,1.39E+04,2.59E+04,3.59E+03,3.16E+03,1.18E+06,6.03E+04,9.18E+03,1.54E+05,1.27E+05,2.29E+05,5.10E+05,3.32E+04,4.21E+04,1.02E+05,2.20E+04,6.75E+03,,,
1172D,13R-3W,10-12 cm,588.85,53.1883,2.46E+05,6.11E+04,8.43E+04,4.15E+04,5.22E+05,7.18E+04,5.10E+03,5.12E+03,5.00E+02,1.00E+03,0.00E+00,1.29E+04,7.45E+03,1.88E+03,3.46E+03,1.00E+03,1.50E+03,3.22E+03,5.72E+03,5.91E+02,7.49E+02,1.93E+05,1.19E+04,7.79E+02,2.66E+04,1.69E+04,3.18E+04,7.53E+04,6.34E+03,1.02E+04,2.03E+04,5.34E+03,1.34E+03,,,
1172D,13R-4W,90-92 cm,591.15,53.5286,9.23E+05,2.42E+05,3.20E+05,1.16E+05,2.19E+06,2.14E+05,1.83E+04,1.81E+04,1.00E+03,1.00E+03,1.00E+03,4.50E+04,2.00E+04,7.30E+03,9.91E+03,1.00E+03,5.69E+03,5.26E+03,1.20E+04,2.39E+03,2.27E+03,5.29E+05,3.34E+04,6.16E+03,8.62E+04,7.70E+04,8.47E+04,2.48E+05,1.82E+04,3.64E+04,6.50E+04,1.72E+04,4.66E+03,,,
1172D,13R-5W,10-12 cm,591.85,53.6322,3.98E+05,1.18E+05,1.57E+05,8.12E+04,1.10E+06,1.32E+05,8.08E+03,7.85E+03,5.00E+02,1.00E+03,1.00E+03,2.35E+04,1.14E+04,3.92E+03,3.85E+03,1.00E+03,2.82E+03,2.51E+03,6.34E+03,1.29E+03,8.51E+02,3.21E+05,1.75E+04,1.59E+03,3.36E+04,1.97E+04,3.79E+04,9.12E+04,9.08E+03,1.59E+04,3.49E+04,7.77E+03,2.14E+03,,,
1172D,13R-6W,110-112 cm,594.35,53.9967,1.99E+06,5.67E+05,7.70E+05,3.37E+05,4.79E+06,5.62E+05,4.05E+04,3.45E+04,3.10E+03,2.16E+03,3.11E+03,1.19E+05,4.68E+04,1.74E+04,1.81E+04,0.00E+00,1.54E+04,8.56E+03,2.40E+04,5.96E+03,3.74E+03,1.59E+06,8.97E+04,1.41E+04,1.52E+05,1.37E+05,2.11E+05,5.00E+05,4.56E+04,7.50E+04,1.66E+05,3.55E+04,9.70E+03,,,
1172D,13R-7W,45-47 cm,595.22,54.0937,2.77E+06,7.77E+05,1.03E+06,3.96E+05,6.45E+06,6.58E+05,4.57E+04,4.18E+04,3.56E+03,4.21E+03,3.03E+03,1.58E+05,5.47E+04,1.96E+04,2.33E+04,0.00E+00,2.07E+04,1.64E+04,3.71E+04,6.89E+03,4.96E+03,1.90E+06,1.05E+05,1.53E+04,2.55E+05,1.97E+05,2.70E+05,7.22E+05,5.83E+04,8.75E+04,2.13E+05,4.29E+04,1.19E+04,,,
1172D,14R-1W,10-12 cm,596.44,54.2296,1.92E+05,4.88E+04,5.64E+04,1.79E+04,4.25E+05,3.72E+04,3.05E+03,3.59E+03,0.00E+00,0.00E+00,0.00E+00,7.18E+03,3.49E+03,1.72E+03,1.85E+03,0.00E+00,1.30E+03,1.00E+03,2.30E+03,4.65E+02,5.07E+02,6.82E+04,4.59E+03,5.96E+02,1.46E+04,9.17E+03,7.76E+03,3.15E+04,2.38E+03,6.63E+03,1.07E+04,3.57E+03,9.72E+02,,,
1172D,14R-2W,10-12 cm,597.94,54.3968,6.68E+05,1.84E+05,2.23E+05,7.20E+04,1.65E+06,1.66E+05,1.25E+04,1.22E+04,0.00E+00,0.00E+00,0.00E+00,3.08E+04,1.54E+04,5.71E+03,8.21E+03,0.00E+00,3.43E+03,6.38E+03,9.81E+03,1.75E+03,2.12E+03,3.62E+05,2.52E+04,4.03E+03,5.40E+04,7.73E+04,4.34E+04,1.75E+05,1.48E+04,2.47E+04,4.62E+04,1.39E+04,3.87E+03,,,
1172D,14R-3W,40-42 cm,599.74,54.5974,3.69E+05,7.75E+04,8.18E+04,2.66E+04,6.49E+05,5.89E+04,4.97E+03,4.41E+03,0.00E+00,0.00E+00,0.00E+00,1.31E+04,5.12E+03,2.12E+03,2.35E+03,0.00E+00,1.50E+03,2.76E+03,4.26E+03,7.24E+02,7.24E+02,1.32E+05,7.38E+03,2.59E+03,4.68E+04,3.02E+04,1.74E+04,9.44E+04,3.96E+03,9.38E+03,1.82E+04,4.47E+03,1.45E+03,,,
1172D,14R-4W,110-112 cm,601.96,54.8448,5.06E+06,1.02E+06,1.17E+06,2.93E+05,8.19E+06,7.75E+05,4.84E+04,5.23E+04,2.32E+03,1.50E+03,1.50E+03,1.21E+05,4.73E+04,2.08E+04,2.69E+04,0.00E+00,9.54E+03,6.52E+03,1.61E+04,6.91E+03,7.36E+03,9.33E+05,6.53E+04,6.79E+03,1.42E+05,1.30E+05,6.55E+04,3.38E+05,3.15E+04,1.01E+05,1.68E+05,4.77E+04,1.43E+04,,,
1172D,14R-5W,120-122 cm,603.7,55.0387,2.38E+06,5.80E+05,5.58E+05,1.48E+05,4.63E+06,3.31E+05,6.03E+04,7.35E+04,0.00E+00,5.57E+03,5.79E+03,7.60E+04,4.46E+04,2.32E+04,3.11E+04,5.51E+03,8.65E+03,9.37E+03,2.35E+04,7.25E+03,1.15E+04,4.60E+05,3.52E+04,4.51E+03,1.02E+05,9.03E+04,3.14E+04,2.24E+05,2.06E+04,1.34E+05,1.21E+05,5.43E+04,1.88E+04,,,
1172D,14R-6W,85-87 cm,604.89,55.1714,1.05E+06,2.43E+05,2.40E+05,6.67E+04,2.06E+06,1.59E+05,1.24E+04,1.27E+04,5.00E+02,0.00E+00,0.00E+00,3.76E+04,1.23E+04,5.29E+03,7.04E+03,0.00E+00,2.80E+03,2.89E+03,5.69E+03,1.62E+03,2.18E+03,2.96E+05,1.83E+04,2.25E+03,5.74E+04,5.55E+04,2.13E+04,1.34E+05,9.43E+03,2.51E+04,4.99E+04,1.23E+04,3.80E+03,,,
1172D,15R-1W,70-72 cm,606.2,55.3173,7.84E+06,1.58E+06,1.49E+06,3.67E+05,1.19E+07,9.06E+05,1.15E+05,1.47E+05,0.00E+00,4.04E+03,3.63E+03,1.51E+05,1.06E+05,5.43E+04,7.27E+04,4.94E+03,1.24E+04,1.31E+04,3.05E+04,1.18E+04,2.10E+04,7.97E+05,7.86E+04,9.73E+03,2.71E+05,2.11E+05,6.15E+04,5.44E+05,4.09E+04,2.62E+05,2.57E+05,1.27E+05,3.28E+04,,,
1172D,15R-2W,70-72 cm,607.7,55.4845,6.27E+06,1.44E+06,1.51E+06,5.02E+05,1.21E+07,1.12E+06,1.09E+05,1.13E+05,5.32E+03,5.41E+03,3.89E+03,2.27E+05,1.10E+05,5.67E+04,5.85E+04,0.00E+00,1.71E+04,1.34E+04,3.05E+04,1.60E+04,1.74E+04,1.78E+06,1.25E+05,1.74E+04,2.97E+05,2.67E+05,1.77E+05,7.42E+05,6.41E+04,2.22E+05,3.37E+05,1.15E+05,3.34E+04,,,
1172,15R-4A,0,610.01,55.7420,,4.07E+05,4.06E+05,1.21E+05,3.19E+06,2.34E+05,,,,,,,,,,,,,,,,3.95E+05,,,,,,,,3.11E+04,1.09E+05,,,,,
1172D,15R-4W,10-12 cm,610.11,55.7531,3.19E+06,6.57E+05,5.49E+05,1.89E+05,5.22E+06,3.62E+05,4.44E+04,4.90E+04,5.00E+02,0.00E+00,0.00E+00,6.88E+04,3.70E+04,2.07E+04,2.47E+04,4.11E+03,4.00E+03,4.15E+03,1.22E+04,5.80E+03,7.80E+03,4.21E+05,3.64E+04,4.60E+03,1.20E+05,9.30E+04,3.56E+04,2.49E+05,1.77E+04,9.34E+04,1.06E+05,4.54E+04,1.36E+04,,,
1172,15R-4A,20,610.21,55.7642,2.75E+06,6.25E+05,6.13E+05,1.78E+05,4.96E+06,3.66E+05,,,,,,,,,,,,,,,,5.18E+05,,,,,,,,4.43E+04,1.43E+05,,,,,
1172,15R-4A,40,610.405,55.7860,,3.37E+05,3.24E+05,1.07E+05,2.66E+06,1.94E+05,,,,,,,,,,,,,,,,3.31E+05,,,,,,,,2.76E+04,1.01E+05,,,,,
1172,15R-4A,60,610.61,55.8088,,5.90E+05,5.48E+05,1.70E+05,4.52E+06,3.26E+05,,,,,,,,,,,,,,,,4.31E+05,,,,,,,,4.32E+04,1.37E+05,,,,,
1172,15R-4A,69,610.7,55.8189,,1.76E+05,1.73E+05,5.49E+04,1.38E+06,1.04E+05,,,,,,,,,,,,,,,,1.31E+05,,,,,,,,1.20E+04,3.82E+04,,,,,
1172,15R-4A,80,610.81,55.8317,1.11E+06,2.76E+05,2.80E+05,8.58E+04,2.23E+06,1.78E+05,,,,,,,,,,,,,,,,1.84E+05,,,,,,,,1.53E+04,6.05E+04,,,,,
1172,15R-4A,89,610.9,55.8470,1.98E+06,4.51E+05,4.28E+05,1.30E+05,3.51E+06,2.51E+05,,,,,,,,,,,,,,,,2.00E+05,,,,,,,,2.33E+04,7.32E+04,,,,,
