,,ungrouped dinocyst assemblages,,,,eco-grouped dinocyst assemblages,,,
depth_mbsf,age_GTS12,number of taxa counted,Fisher's alpha,Shannon index,Simpson Index,number of taxa counted,Shannon index,Simpson Index,sumCV (window size 31)
403.45,39.4542,24,6.152887614,1.930217224,0.711251746,13,1.382889493,0.58972562,23.84946562
404.95,39.5129,23,6.075690546,2.408308029,0.877925493,12,1.700523135,0.751912404,25.05158055
406.45,39.5715,23,6.56009383,2.415384869,0.86734603,12,1.738893195,0.772559172,24.81478304
406.62,39.5781,19,5.131216571,1.704979918,0.646509255,11,1.329880544,0.569341649,26.0892902
407.72,39.6211,20,4.981916898,1.932450855,0.786327917,10,1.466348905,0.708131959,26.79628155
409.45,39.6887,13,2.946340421,1.453211283,0.625763889,9,1.218320364,0.588020833,26.98864809
410.95,39.7473,12,2.344981272,1.385112177,0.673164993,6,0.656047977,0.355962376,27.43678028
411.7,39.7766,24,6.156125328,2.272724521,0.841590514,12,1.345852574,0.630004396,27.00555109
412.52,39.8086,21,6.121373824,2.1072676,0.80469823,12,1.299187264,0.586595787,26.53330064
413.22,39.836,24,6.44958748,2.330047457,0.853431953,14,1.708730618,0.725976331,27.10863491
414.02,39.8673,16,3.441963833,1.742867878,0.73113034,10,1.142251586,0.51531786,26.63359048
414.68,39.893,8,1.526118219,0.364102607,0.1332783,7,0.341644483,0.132695553,26.87973746
415.42,39.922,17,3.769251487,0.491483833,0.157603929,9,0.39857362,0.141399111,26.94400258
416.22,39.9532,18,6.012523515,2.157847285,0.829485996,9,1.487392336,0.701292705,26.85974869
417.72,40.0118,13,2.759488646,1.285414586,0.547286185,9,0.908537301,0.398134522,27.2759099
419.12,40.0665,17,5.720003943,1.939453313,0.794410822,11,1.598301383,0.732154195,28.65574361
420.02,40.1017,15,6.419410978,2.367656921,0.88,8,1.722567578,0.783888889,28.58624715
420.92,40.1369,23,7.190050026,2.437534368,0.873428802,10,1.745258441,0.762666284,28.86744228
421.62,40.2096,17,5.939532512,2.283224959,0.85990363,9,1.805135471,0.800226752,29.02908354
422.92,40.3555,24,7.527404424,2.737261907,0.908881069,14,2.018366952,0.812612991,29.07499438
424.15,40.4935,21,7.368884825,2.372011205,0.856527777,12,2.086024757,0.840477367,27.42598635
425.62,40.6585,20,6.909052333,2.176477233,0.806808389,11,1.688424951,0.734702672,27.37670514
425.65,40.6618,13,2.960703657,0.74633548,0.278045099,8,0.643001459,0.274525998,27.47510373
426.02,40.7034,26,7.560163694,2.186811188,0.765581718,14,1.800276031,0.726523821,27.70994198
426.22,40.7258,23,8.17760166,2.568043616,0.890869141,13,2.05511581,0.828445657,22.54506769
427.15,40.8302,20,5.209175615,1.884742842,0.76241343,11,1.63398135,0.739622235,22.63203575
427.22,40.838,20,6.106597744,2.324901973,0.861317195,12,1.950610443,0.8243273,22.47244693
427.72,40.8941,20,7.643051584,2.50764962,0.8868105,12,1.995271956,0.818152832,22.28205394
428.65,40.9985,20,5.463452678,2.174073453,0.838507766,10,1.675216256,0.76314124,21.89979271
430.9,41.258,23,7.264664654,2.527372084,0.88624426,13,1.87536413,0.795224977,21.58781893
432.23,41.4074,16,3.660369538,1.452783599,0.602596702,10,1.358498737,0.600053792,21.85645063
433.73,41.5212,12,2.625489819,1.275254749,0.568117965,10,1.21439284,0.565578324,22.10155481
435.23,41.6349,14,3.528460029,1.579194919,0.689838455,10,1.380496444,0.659564726,27.52256284
436.73,41.7487,12,2.619744884,0.770768802,0.321204829,10,0.757741783,0.321111094,27.85916818
438.23,41.8624,9,1.854028781,0.592710216,0.227592644,7,0.542566013,0.214369202,28.18783598
439.75,41.9777,20,4.849088209,1.519642735,0.648549271,10,1.332563531,0.635036327,27.33650982
441.85,42.137,17,4.033179746,1.934810828,0.799961305,9,1.357470912,0.684060655,27.62993539
443.35,42.2507,8,1.425299754,1.036854277,0.569200574,7,1.013608818,0.568367907,27.53763773
444.85,42.38,23,5.763370605,1.515034232,0.571126491,10,1.185984819,0.54505778,28.22948032
446.35,42.5213,14,2.866436413,0.90354059,0.404127997,10,0.810939994,0.390305238,29.07012262
447.85,42.6625,12,2.536755216,0.950490367,0.509646046,8,0.890521652,0.502441034,29.47579065
449.35,42.8038,14,2.773488543,0.913157238,0.518384489,8,0.873447165,0.515951175,28.27697955
451.45,43.0015,18,4.203969828,1.614828089,0.715399998,9,1.327283001,0.677637048,27.89735831
452.95,43.1428,17,3.703960683,1.48966308,0.649181635,9,1.2226586,0.584972423,27.82390572
