Hole,Depth (c. mbsf ,Core (-R),Section (-W),Interval (top),Interval (bottom),,Achilleadonium biformoides,Achomosphaera alcicornu,Achomosphaera crassipellis,Achomosphaera ramulifera,Hystrichostrogylon membraniphorum,Adnatosphaeridium vitanum,Aiora fenestrata,Alisocysta circumtabulata,Alisocysta chilensis,Alisocysta margarita,Alisocysta reticulata sp. A,Alisocysta reticulata ,Alterbidinium acutulum,Alterbidinium distinctum,Amphidiadema? sp.,Apectodinium homomorphum, Apectodinium hyperacanthum , Apectodinium parvum , Apectodinium quinquelatum , Apectodinium cf Wetz ,Apectodinium spp. (pars.),Apteodinium australiense,Arachnodinium antarcticum,Areoligera spp., Areoligera senonensis ,Batiacasphaera spp. (pars),Batiacasphaera compta,Batiacasphaera sp. c.f. B. cassicula,Brigantedinium spp.,Brigantedinium? blank,Caligodinium spp,Cannosphaeropsis sp.,Carpatella spp,Cassidium fragile,Cassidium filosum,Cerebrocysta bartonensis,Cerebrocysta wr small,Cerebrocysta minima,Cerebrocysta delicata,Cerodinium depressum,Cerodinium indet.,Cerodinium debielii,Cerodijnium depressum,Cerodinium sp. A,Cerodinium sp. A 'small' ,Cerodinium speciosum,Cerodinium striata,Circulodinium compactum,Cleistosphaeridium placacanthum,Cleistosphaeridium polypetellum,Cleistosphaeridium diversispinosum,Cordosphaeridium fibrospinosum,Cordosphaeridium minimum,Corrudinium obscurum,Corrudinium regulare,Corrudinium incompositum,Cribroperidinium spp. ,Damassadinium californicum,Danea crassimurata,Dapsilidinium spp.,Deflandrea antarctica,Deflandrea convexa,Deflandrea cygniformis,Deflandrea denticulata,Deflandrea foveolata,Deflandrea oebisfeldensis,Deflandrea phosphoritica,Deflandrea/ Cerodinium spp. (pars.),Deflandrea sp. A,Deflandrea indet.,Diconodinium sp.,diconodinium psilate large,Diconodinium granulate,Dinopterygium sp. A,Dinogymnium,Diphyes colligerum,Elytrocysta brevis,Elytrocysta druggii,Distatodinium paradoxum,Dracodinium waipawaense,Eocladopyxis spp. (pars),"Eocladopyxis sp. A Bijl et al., 2013",Enneadocysta multicornuta,Enndeadocysta partridgei,Enneadocysta pectiniformis,Enneadocysta cf robusta,Exochosphaeridium bifidum,Fibrocysta bipolaris, Fibrocysta spp. ,Fibrocysta sp. A,Florentinia mantellii,Florentinia reichartii,Froomea,Gelatia inflata,Gerdiocysta spp.,Glaphyrocysta delicata,Glaphyrocysta spp. (pars),Glaphyrocysta ordinata,Glaphyrocysta inticata,Glaphyrocysta divaricata,Glaphyrocysta exuberans,Glaphyrocysta pastielsii,Glaphyrocysta retiintexta,Hafniasphaera septata,Heteraolacocysta spp.,Homotryblium oceanicum,Hemiplacophora semilunifera,Hystiocysta verrucosa,Hystiocysta palla,Homotryblium tasmaniense,Hystrichokolpoma pusillum,Hystrichokolpoma bullatum,Hystrichokolpoma spp. (pars.),Hystrichokolpoma rigaudiae,Hystrichokolpoma spinosum,Hystrichokolpoma truncatum,Hystrichosphaeridium ?truswelliae,Hystrichosphaeridium ?tubiferum,Hystrichosphaeropsis spp.,Impagidinium aculeatum,Impagidinium cassiculum,Impagidinium crassimuratum,Impagidinium dispertitum,Impagidinium maculatum,Impagidinium agremom,Impagidinium paradoxum,Impagidinium parvireticulatum,Impagidinium velorum,Impagidinium victorianum,Impagidinium crouchiae,Impagidinium waipawaensis,Impagidinium spp. (pars.),Impletosphaeridium spp.,Isabellidinium spp.,Kallosphaeridium,Kenleyia spp.,Kisselovia coleothrypta,Kisselovia edwardsii,Lejeunecysta hyalina,Lejeunecysta rotundata,Lentinia serrata,Leptodinium pustulatum,Lingulodinium machaerophorum,Lophocysta spp.,Manumiella spp.,Manumiella seymourensis,Manumiella rotunda,Melitasphaeridium speudorecurvatum,Membranophoridium perforatum,Membranosphaera spp.,Microdinium spp.,microdinium? sp. A,Muratodinium finbriatum,Nelsoniella spp.,Nematosphaeropsis labirinthus,Ochetodinium spp.,Octodinium askiniae,Odontochitina operculata,Oligosperidium spp.,Operculodinium centrocarpum,Operculodinium? sp. A,"Operculodinium sp. A Brinkhuis, 2003",Operculodinium spp. pars.,Palaeocystodinium australinum,Palaeocystodinium golzowense,Palaeoperidinium pyrophorum,Palaeotetradinium minisculum,Pentadinium laticinctum,Phthanoperidinium crenulatum,Phthanoperidinium sp.,Phthanoperidium echinatum,Phthanoperidinium comatum,Phthanoperidnium sp A houben 748,Polysphaeridium spp.,Protoperidinium sp. A,Pyxidinopsis waipawaensis,Pyxidinopsis sp. A,Pyxidinopsis meadensis,Reticulatosphaera actinocoronata,Rhombodinium spp.,Rottnestia borussica,Samlandia delicata,Samlandia septata,Schematophora speciosa,Selenopemphix spp.,Senegalinium sp. A brown,Senegalinium sp. B transparent,Senegalinium/Alterbidium indet.,Senegalinium bicavatum,Senegalinium dilwynense,Senoniasphaera inronata,Spinidinium sp. A,Spinidinium densispinatum,Spinidinium macmurdoense,Spinidinium schellenbergii,Spiniferella cornuta,Spiniferites spp. (pars.),Spiniferites ramosus,Spiniferites sp. A Brinkhuis 2003,Spiniferites sp. B Brinkhuis 2003,Stoveracysta kakanuensis,Stoveracysta ornata,subtilisphaera,Tanyosphaeridium spp.,Tectatodinium,Thalassiphora delicata,Thalassiphora pelagica,Trithyrodinium evittii ,Trithyrodinium vermiculatum?,Turbiosphaera filosa,Turbiosphaera galeata,Vozzhennikovia apertura,Vozzhennikovia angulata,Vozzhennikovia röhliae,Vozzhennikovia stickleyae,Vozzhennkovia netrona,Vozzhennikovia spp. (pars.),Wetzelliella astra,Wetzeliella samlandica,Wilsonidium ornatum,Wilsonidium echinosuturatum,total dinoflagellates,,Impagidinium spp.,Cerebrocysta group,Spiniferites group,Operculodinium spp.,Cordosphaeridium fibrospinosum group,Cleistosphaeridium spp.,Batiacasphaera,Diphyes colligerum,Hystrichosphaeridium spp.,"Elytrocysta, Microdinium spp.",Alisocysta/Schematophora,Hystrichokolpoma,Glaphyrocysta group,Enneadocysta spp.,Wetzeliellioids,Palaeoperidinium pyrrophorum,Palaeocystodinium spp.,Spinidinium spp.,Vozzhennikovia spp.,Deflandrea group,Manumiella spp.,Phthanoperidinium spp,Senegalinium group,Goniodomids,Protoperidinium spp.,other,,,"%Group cf. Frieling & Sluijs, 2018",Spiniferites cpx,Cordosphaeridium cpx,Areoligera cpx,Operculodinium,Lingulodinium,Proximal G-cysts Apical,Proximal G-cysts Precingular,Hystrichosphaeridium,Hystrichokolpoma,Cleistosphaeridium,Epicystal Goniodomids,Impagidinium,Florentinia reichartii,Diphyes,Apectodinium,Hafniasphaera,Senegalinium (inclusive),Senegalinium (exclusive),"Phth, Spini & Vozz.",Cerodinium & Deflandrea,Protoperidinioids,Hex-P,Thermophiles,Open Marine,Octodinium askinae,SUM,%endemic,acritarchs,bisaccate,nothofagus,other pollen,spores,sporomorphs unspecified,T/T+M
1172D,597.31,14,1,95,97,PKB,,,,1,,,,,,,,,,,,4,,,,,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,1,,,9,,,,,,,,,2,,,,,,,,,6,,,,,,,,,,,,,,,,,,1,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,5,,,,,,,1,,,,,,,,,,,70,,,,,,,,,,29,,,,,,,,,,,,,,,3,,,,,,,,,,,11,59,,,,,,,1,1,,10,,,,,,,,,,,,,,,20,,,,,,,,,,256,,5,4,11,29,10,1,0,0,10,70,0,0,8,0,4,0,0,2,20,8,0,0,70,0,4,0,,,,4.30,3.91,3.13,11.33,0.00,27.34,1.56,3.91,0.00,0.39,0.00,1.95,0.00,0.00,1.56,0.00,34.77,31.64,31.64,3.13,5.86,40.63,1.56,19.14,0.00,100,30,135,2,0,3,4,,0.03
1172D,597.36,14,1,100,102,PKB,,,,3,,,,,,,,,,,,7,,,,,,,,3,,,,,,,,,,,,9,,,,,,,,,,,,,2,,,9,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,64,,,,,,,,,,4,,,,,,,,,,,1,,,,2,,,,,,,,,,,8,69,,,,,,,,1,,2,,,,,,,,,,,,,,,20,,,,,,,,,,213,,3,9,5,4,9,2,0,0,1,64,0,0,4,0,7,0,0,1,20,4,0,1,77,0,2,0,,,,2.35,4.23,1.88,1.88,0.00,30.05,4.23,0.47,0.00,0.94,0.00,1.41,0.00,0.00,3.29,0.00,44.60,42.72,42.72,1.88,4.69,49.30,3.29,8.92,0.00,100,25,101,0,0,12,1,,0.06
1172D,597.51,14,1,115,117,PKB,,,,1,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,6,,,,,,,,,3,,,,,,,,,6,,,,,,,,,,,,,,,,,,5,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,15,,,,,,,,,,,,,,,1,,,,,,,,,,,4,30,,,,,,,,,,7,,,,,,,,,,,,,,,9,,,,,,,,,,200,,0,3,8,15,11,0,0,0,4,99,0,0,5,0,2,0,0,0,9,9,0,0,34,0,1,0,,,,4.00,5.50,2.50,7.50,0.00,49.50,1.50,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,24.00,19.50,19.50,4.50,2.50,26.50,1.00,12.50,0.00,100,18,80,8,0,9,5,,0.10
1172D,597.56,14,1,120,122,PKB,,,,1,,,,,,,,,,,,5,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,2,,,7,,,,,1,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,98,,,,,,,,,,7,,,,,2,,,,,,3,,,,,,,,,,,,,,,30,49,,,,,,,,2,,6,,,,,,,,,,,,,,,35,,,,,,,,,,273,,2,4,7,7,9,2,0,0,2,98,0,0,1,0,5,0,2,2,35,14,0,3,79,0,1,0,,,,2.56,3.30,0.37,2.56,0.00,35.90,1.47,0.73,0.00,0.73,0.00,0.73,0.00,0.00,1.83,0.00,37.73,32.60,32.60,5.13,11.36,49.08,1.83,7.69,0.00,99,51,90,2,4,11,2,,0.07
1172D,597.71,14,1,135,137,PKB,,,,2,,,,,,,,,,,,5,,,,,,,,6,,,,,,,,,,,,6,,,,,,,,,,,,,1,,,6,,,,,,,,,2,,,,,,,,,16,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,4,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,21,,,,,,,,,,,2,,,,,,,,,,,,,,,23,42,,,,,,,,1,,14,,,,,,,,,,,,,,,66,,,,,,,,,,316,,4,6,16,21,8,1,0,0,4,91,0,0,8,0,5,0,0,1,66,18,0,2,65,0,0,0,,,,5.06,2.53,2.53,6.65,0.00,28.80,1.90,1.27,0.00,0.32,0.00,1.27,0.00,0.00,1.58,0.00,40.82,35.13,35.13,5.70,7.28,48.10,1.58,14.56,0.00,100,85,75,0,2,3,6,,0.03
1172D,597.76,14,1,140,142,PKB,,,,2,,,,,,,,,,,,10,,,,,,,,5,,,,,,,,,,,,6,,,,,,,,,,,,,1,,,3,,,,,1,,,,2,,,,,,,,,20,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,6,,,,,,,1,,,,,,,,,,,73,,,,,,,,,,8,,,,,,,,,,,1,,,,,,,,,,,,,,,10,65,,,,,,,,,,9,,,,,,,,,,,,,,,89,,,,,,,,,,318,,7,6,11,8,5,1,0,0,2,73,0,0,7,0,10,0,0,0,89,22,0,1,75,0,1,0,,,,3.46,1.57,2.20,2.52,0.00,22.96,1.89,0.63,0.00,0.31,0.00,2.20,0.00,0.00,3.14,0.00,55.66,48.74,48.74,6.92,3.46,59.12,3.14,11.32,0.00,100,111,68,3,1,6,0,,0.03
1172D,597.86,14,1,150,152,PKB,,,,1,,,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,11,,,,,,,,,,,,,2,,,5,,,,,1,,,,2,,,,,,,1,,22,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,3,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,78,,,,,,,,,,8,,,,,1,,,,,,,,,,3,,,,,,,,,,,9,24,,,,,,,,3,,2,,,,,,,,,,1,,,,,51,,,,,,,,,,242,,1,11,3,8,7,2,0,0,5,78,0,0,10,0,1,0,1,3,51,25,0,0,33,0,3,0,,,,1.24,2.89,4.13,3.31,0.00,32.23,4.55,2.07,0.00,0.83,0.00,0.41,0.00,0.00,0.41,0.00,42.56,32.23,32.23,10.33,4.96,47.52,0.41,5.37,0.00,100,78,51,5,0,2,5,,0.05
1172D,597.94,14,2,10,12,PKB,,,,1,,,,,,,,,,,,3,,,,,,,,4,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,38,,,,,,1,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,4,,,,,,,2,,,,,,,,,,,141,,,,,,,,,,10,,,,,1,,,,,,24,,,2,9,,,,,,,,,,,18,34,,,,,,,,6,,16,,,,,,,,,,,,,,,38,,,,,,,,,,391,,4,18,17,10,10,0,0,1,9,141,0,0,4,0,3,0,1,6,38,40,0,24,52,2,11,0,,,,4.35,2.56,1.02,2.56,0.00,36.06,4.60,2.30,0.00,0.00,0.51,1.02,0.00,0.26,0.77,0.00,36.32,26.09,26.09,10.23,7.42,43.73,1.28,8.70,0.00,100,84,93,7,1,3,3,,0.03
1172D,597.99,14,2,15,17,PKB,,,,,,,,,,,,,,,,5,,,,,,,,2,,,,,,,,,,,,9,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,5,,,,,,,,,,,,,,,,,,3,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,80,,,,,,,,,,12,,,,,,,,,,,,,,,3,,,,,,,,,,,7,32,,,,,,,,,,5,,,,,,,,,,,,,,,43,,,,,,,,,,223,,3,9,5,12,6,0,0,0,6,80,0,0,5,0,5,0,0,0,43,7,0,0,39,0,3,0,,,,2.24,2.69,2.24,5.38,0.00,35.87,4.04,2.69,0.00,0.00,0.00,1.35,0.00,0.00,2.24,0.00,36.77,33.63,33.63,3.14,4.48,41.26,2.24,11.21,0.00,100,50,66,4,2,21,2,,0.12
1172D,598.14,14,2,30,32,PKB,,,,5,,,,,,,,,,,,6,,,,,,,,4,,,,,,,,,,,,9,,,,,,,,,,,,,1,,,11,,,,,1,,,,2,,,,,,,,,16,,,,,,,,,,,,,,,,,,4,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,140,,,,,,,,,,7,,,,,,,,,,,,,,,6,,,,,,,,,,,17,45,,,,,,,,1,,4,,,,,,,,,,2,,,,,29,,,,,,,,,,320,,2,9,9,7,18,1,0,0,4,140,0,0,7,0,6,0,0,1,29,18,0,0,62,0,7,0,,,,2.81,5.63,2.19,2.19,0.00,43.75,2.81,1.25,0.00,0.31,0.00,0.63,0.00,0.00,1.88,0.00,29.06,23.44,23.44,5.63,7.50,36.56,1.88,7.50,0.00,100,48,139,6,0,8,1,,0.04
1172D,598.19,14,2,35,37,PKB,,,,2,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,6,,,,,,,,,2,2,,,,,1,,,8,,,,,,,,,,,,,,,,,,2,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,4,,,,,,,2,,,,,,,,,,,119,,,,,,,,,,1,,,,,1,,,,,,,,,,2,,,,,,,,,,,14,48,,,,,,,,1,,3,,,,,,,,,,2,,,,,15,,,,,,,,,,249,,4,1,5,1,10,2,0,0,2,119,0,0,6,0,3,0,1,1,15,13,0,0,62,0,4,0,,,,2.01,4.02,2.41,0.40,0.00,47.79,0.40,0.80,0.00,0.80,0.00,1.61,0.00,0.00,1.20,0.00,30.92,25.70,25.70,5.22,7.23,38.15,1.20,5.22,0.00,100,28,83,6,3,15,4,,0.10
1172D,598.41,14,2,55,57,PKB,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,5,,,,,,,,,1,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,120,,,,,,,,,,7,,,,,1,,,,,,,,,,2,,,,,,,,,,,8,40,,,,,,,,,,8,,,,,,,,,,,,,,,16,,,,,,,,,,248,,13,2,8,7,5,1,0,0,4,120,0,0,5,0,0,0,1,0,16,16,0,0,48,0,2,0,,,,3.23,2.02,2.02,2.82,0.00,48.39,0.81,1.61,0.00,0.40,0.00,5.24,0.00,0.00,0.00,0.00,29.03,22.58,22.58,6.45,4.03,33.06,0.00,11.29,0.00,100,32,70,7,0,7,2,,0.06
1172D,598.46,14,2,60,62,PKB,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,9,,,,,,,,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,4,,,,,,,1,,,,,,,,,,,117,,,,,,,,,,11,,,,,2,,,,,,,,,,2,,,,,,,,,,,15,54,,,,,,,,,,5,,,,,,,,,,,,,,,15,,,,,,,,,,257,,4,5,6,11,9,0,0,0,2,117,0,0,4,0,0,0,2,0,15,10,0,0,69,0,3,0,,,,2.33,3.50,1.56,4.28,0.00,45.53,1.95,0.78,0.00,0.00,0.00,1.56,0.00,0.00,0.00,0.00,30.74,26.85,26.85,3.89,7.00,37.74,0.00,8.17,0.00,99,25,99,12,3,10,2,,0.10
1172D,598.61,14,2,75,77,PKB,,,,1,,,,,,,,,,,,4,,,,,,,,2,,,,,,,,,,,,7,,,,,,,,,,,,,2,,,6,,,,,2,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,16,,,,,,,1,,,,,,,,,,,95,,,,,,,,,,11,,,,,2,,,,,,,,,,1,,,,,,,,,,,12,66,,,,,,,,1,,6,,,,,,,,,,,,,,,9,,,,,,,,,,261,,16,7,7,11,8,2,0,0,6,95,0,0,9,0,4,0,2,1,9,4,0,0,78,0,2,0,,,,2.68,3.07,3.45,4.21,0.00,36.40,2.68,2.30,0.00,0.77,0.00,6.13,0.00,0.00,1.53,0.00,30.65,29.12,29.12,1.53,5.36,36.02,1.53,14.56,0.00,99,13,111,10,2,8,0,,0.07
1172D,598.66,14,2,80,82,PKB,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,7,,,,,,,2,,,,,,,,,,,73,,,,,,,,,,9,,,,,1,,,,,,,,,,3,,,,,,,,,,,29,73,,,,,,,,2,,4,,,,,,,,,,,,,,,19,,,,,,,,,,241,,7,3,6,9,3,0,0,0,1,73,0,0,3,0,1,0,1,2,19,6,0,0,102,0,5,0,,,,2.49,1.24,1.24,3.73,0.00,30.29,1.24,0.41,0.00,0.00,0.00,2.90,0.00,0.00,0.41,0.00,41.49,39.00,39.00,2.49,14.11,55.60,0.41,9.54,0.00,100,27,78,2,3,5,3,,0.05
1172D,598.81,14,2,95,97,PKB,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,5,,,,,,,,,1,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,111,,,,,,,,,,13,,,,,2,,,,,,5,,,,2,,,,,,,,,,,19,72,,,,,,,,,,4,,,,,,,,,,,,,,,19,,,,,,,,,,288,,7,1,8,13,5,0,0,0,1,111,0,0,7,0,1,0,2,0,19,15,0,5,91,0,2,0,,,,2.78,1.74,2.43,4.51,0.00,38.54,0.35,0.35,0.00,0.00,0.00,2.43,0.00,0.00,0.35,0.00,38.54,33.33,33.33,5.21,7.29,45.83,0.35,10.07,0.00,99,34,74,10,2,7,3,,0.07
1172D,598.86,14,2,100,102,PKB,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,2,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,81,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,8,127,,,,,,,,,,18,,,,,,,,,,,,,,,2,,,,,,,,,,261,,7,1,19,3,2,0,0,0,1,81,0,0,4,0,0,0,0,0,2,5,0,1,135,0,0,0,,,,7.28,0.77,1.53,1.15,0.00,31.03,0.38,0.38,0.00,0.00,0.00,2.68,0.00,0.00,0.00,0.00,51.72,49.81,49.81,1.92,3.07,54.79,0.00,11.11,0.00,100,7,70,7,1,9,3,,0.07
1172D,599.01,14,2,115,117,PKB,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,4,,,,,,,,,1,3,,,,,,1,,14,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,6,,,,,,,1,,,,,,,,,,,64,,,,,,,,,,6,,,,,2,,,,,,,,,,2,,,,,,,,,,,6,137,,,,,,,,,,15,,,,,,,,,,,,,,,3,,,,,,,,,,277,,7,2,15,6,4,0,0,0,3,64,0,0,5,0,1,0,2,0,3,19,0,0,143,0,3,0,,,,5.42,1.44,1.81,2.17,0.00,23.10,0.72,1.08,0.00,0.00,0.00,2.53,0.00,0.00,0.36,0.00,57.40,50.54,50.54,6.86,3.25,60.65,0.36,10.47,0.00,99,21,120,13,3,15,5,,0.12
1172D,599.06,14,2,120,122,PKB,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,61,,,,,,,,,,4,,,,,1,,,,,,,,,,1,,,,,,,,,,,3,96,,,,,,,,,,11,,,,,,,,,,,,,,,7,,,,,,,,,,207,,0,1,13,4,0,0,0,0,1,61,0,0,5,0,1,0,1,0,7,10,0,0,99,0,4,0,,,,6.28,0.00,2.42,1.93,0.00,29.47,0.48,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,54.59,49.76,49.76,4.83,3.38,57.97,0.48,8.70,0.00,100,17,55,0,5,22,5,,0.13
1172D,599.21,14,2,135,137,PKB,,,,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,3,,,,,1,,,,,1,,,,,,,,9,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,3,,,,,,,1,,,,,,,,,,,65,,,,,,,,,,3,,,,,1,,,,,,,,,,1,,,,,,,,,,,5,150,,,,,,,,,,12,,,,,,,,,,,,,,,2,,,,,,,,,,277,,5,8,15,3,5,0,0,0,3,65,0,0,1,0,2,0,1,0,2,10,0,0,155,0,2,0,,,,5.42,1.81,0.36,1.08,0.00,23.47,2.89,1.08,0.00,0.00,0.00,1.81,0.00,0.00,0.72,0.00,58.48,54.87,54.87,3.61,2.53,61.01,0.72,9.03,0.00,100,12,88,6,2,9,7,,0.08
1172D,599.26,14,2,140,142,PKB,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,1,,,,,,,,,,,63,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,15,140,,,,,,,,,,15,,,,,,,,,,,,,,,2,,,,,,,,,,263,,4,4,15,7,2,0,0,0,0,63,0,0,2,0,1,0,0,0,2,7,0,0,155,0,1,0,,,,5.70,0.76,0.76,2.66,0.00,23.95,1.52,0.00,0.00,0.00,0.00,1.52,0.00,0.00,0.38,0.00,56.65,53.99,53.99,2.66,6.08,62.74,0.38,10.27,0.00,100,9,70,6,1,5,1,,0.05
1172D,599.44,14,3,10,12,PKB,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,10,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,2,,,,,,,1,,,,,,,,,,,69,,,,,,,,,,4,,,,,,,,,,,13,,,,2,,,,,,,,,,,12,55,,,,,,,,2,,3,,,,,,,,,,,,,,,15,,,,,,,,,,202,,3,3,4,4,3,0,0,0,1,69,0,0,1,0,1,0,0,2,15,13,0,13,67,0,3,0,,,,1.98,1.49,0.50,1.98,0.00,34.16,1.49,0.50,0.00,0.00,0.00,1.49,0.00,0.00,0.50,0.00,48.51,42.08,42.08,6.44,7.43,55.94,0.50,5.94,0.00,100,30,39,6,0,3,2,,0.05
1172D,599.74,14,3,40,42,PKB,,,,1,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,22,,,,,,,,,,12,,,,,1,,,,,,2,,,,,1,,,,,,,,,,,53,,,,,,,1,,,67,,,2,,,,,,,,,,,,2,,,,,,,,,,197,,1,8,70,12,0,0,0,0,2,22,0,0,0,0,3,0,1,1,2,18,0,2,54,0,1,0,,,,35.53,0.00,0.00,6.09,0.00,11.17,4.06,1.02,0.00,0.00,0.00,0.51,0.00,0.00,1.52,0.00,39.09,29.95,29.44,9.14,0.51,39.59,1.52,43.65,0.00,99,21,15,5,1,0,8,,0.07
1172D,600.96,14,4,10,12,PKB,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,10,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,3,,,,,,3,,,,,,,2,,,,,,,,,,,97,,,,,,,,,,3,,,,,4,,,,,,1,,,,2,,,,,,,,,,,10,91,,,,,,,,5,,35,,,,,,,,,,,,,,,39,,,,,,,,,,322,,7,3,35,3,4,0,0,0,4,97,0,0,2,0,1,0,4,5,39,12,0,1,101,0,4,0,,,,10.87,1.24,0.62,0.93,0.00,30.12,0.93,1.24,0.00,0.00,0.00,2.17,0.00,0.00,0.31,0.00,45.96,42.24,42.24,3.73,4.35,50.31,0.31,14.29,0.00,99,56,27,12,6,14,0,,0.09
