Hole,Depth (c. mbsf ,Core (-R),Section (-W),Interval (top),Interval (bottom),Dage,Open,Spinif,Cribro,Cleisto,Proxgap,Aliso,Glaph,Ennead,Wetzel,Palaeop,Spinvozz,Defl,Phthano,Seneg,Gonio,Protop,Thermo,Endemic,Terr,,,,
1172A,401.35,43,6,85,87,39.37,17.7,8.6,0.4,0.0,1.3,0.9,10.8,9.1,0.0,,9.1,25.9,9.9,0.0,0.4,0.9,0.4,46.6,4.9,,,,
1172A,403.45,44,1,85,87,39.45,7.4,2.7,1.0,0.0,0.7,7.4,0.0,11.4,0.0,,4.7,56.7,6.4,0.0,0.0,0.3,0.0,66.1,1.3,,,,
1172A,404.95,44,2,85,87,39.51,16.7,7.7,0.2,0.0,0.9,0.0,0.5,9.0,0.0,,17.6,30.7,17.2,0.0,0.0,0.9,0.0,37.0,3.9,,,,
1172A,406.45,44,3,85,87,39.57,10.8,4.7,0.5,0.0,3.3,0.0,0.0,21.7,0.0,,2.4,29.7,24.5,0.9,0.0,1.9,0.0,38.2,1.9,,,,
1172A,406.62,44,3,102,104,39.58,7.9,5.9,0.5,0.5,1.5,0.0,0.0,11.3,0.0,,5.9,9.4,57.6,0.0,1.0,2.5,0.0,16.3,5.1,,,,
1172A,407.72,44,4,62,64,39.62,4.1,2.6,2.8,0.0,1.8,0.0,0.0,25.4,0.0,,8.1,22.1,33.1,0.7,0.0,0.0,0.0,30.6,1.8,,,,
1172A,409.45,44,5,85,87,39.69,5.0,4.6,2.1,0.0,0.4,0.0,0.0,59.6,0.0,,5.4,10.4,15.4,0.0,0.0,0.8,0.0,17.5,1.6,,,,
1172A,410.95,44,6,85,87,39.75,0.8,0.5,0.0,0.0,0.0,0.0,0.0,77.9,0.0,,1.5,18.3,1.0,0.0,0.0,0.0,0.0,50.9,0.8,,,,
1172A,411.70,44,7,10,12,39.78,3.2,0.8,0.0,0.0,2.8,0.0,0.0,5.9,0.0,,17.6,52.3,12.2,0.4,0.8,1.6,0.8,64.7,3.8,,,,
1172A,412.52,45,1,32,34,39.81,4.4,2.7,0.5,0.0,2.2,0.5,0.0,12.5,0.0,,20.2,16.3,36.8,3.8,0.5,0.5,0.5,40.9,3.2,,,,
1172A,413.22,45,1,102,104,39.84,7.7,4.6,0.4,1.9,2.7,0.8,0.0,12.3,0.4,,20.8,21.5,24.2,0.4,1.9,1.2,1.2,45.4,3.7,,,,
1172A,414.02,45,2,32,34,39.87,4.8,0.8,0.0,0.0,0.8,0.0,0.0,67.2,0.0,,8.4,9.3,5.9,0.0,1.7,0.0,0.0,40.3,0.8,,,,
1172A,414.68,45,2,98,100,39.89,1.7,0.0,0.0,0.0,0.3,0.3,0.0,93.0,0.0,,2.8,0.0,1.0,0.0,0.0,0.0,0.0,3.1,0.7,,,,
